ID,MEDV
0,24.938415947
1,25.0451679626
2,7.11373390202
3,19.8865126348
4,15.5388411961
5,19.8477730891
6,23.0898670022
7,21.2882036812
8,33.11811705
9,23.3520596836
10,21.2152754481
11,19.4029603206
12,18.2704288393
13,20.1270774874
14,20.9560701002
15,29.0048823154
16,20.1710821177
17,23.059994138
18,25.2797816335
19,28.4498280285
20,20.6811978276
21,30.1117825511
22,29.1869864922
23,14.8225495956
24,15.5038840825
25,14.0092858244
26,18.2270753757
27,20.3734512267
28,21.36378507
29,24.7351514975
30,31.1276802684
31,24.9994375575
32,24.4710084448
33,27.1515882177
34,27.7727909382
35,23.9828805441
36,25.6342368385
37,28.6442287281
38,29.3145800939
39,25.9317217017
40,11.1288284779
41,33.285931715
42,24.0806415298
43,22.7432750494
44,26.4914892268
45,24.7770306551
46,14.1829659046
47,23.8517626392
48,20.5234804188
49,19.5801864759
50,20.3315979804
51,34.5588666499
52,19.768984676
53,-7.58818308444
54,12.6762011487
55,21.0926458382
56,19.3208932225
57,8.48621518222
58,1.88618774469
59,23.3700863853
60,22.6300017827
61,21.5461432358
62,35.998036799
63,24.1322152333
64,30.6716313251
65,26.2772193858
66,9.47175937233
67,21.3793444491
68,26.9906189024
69,17.0902694268
70,23.5533693288
71,26.713094089
72,28.7514908042
73,6.69772465762
74,20.6067361757
75,17.6310912725
76,20.9015723385
77,26.8743197247
78,20.0504001569
79,31.4953166862
80,28.3976892387
81,35.7890711964
82,22.7192124174
83,27.0666048168
84,25.3111781009
85,29.9677864832
86,18.3472628332
87,27.1265438708
88,10.8432857405
89,25.8866615407
90,5.81943438876
91,23.7449948759
92,8.22192403219
93,22.0017386207
94,23.4579980125
95,22.7676280242
96,31.3222221848
97,5.30038948127
98,15.6998900169
99,24.5683870032
100,24.8068683932
101,22.234741889
102,25.2117229111
103,31.10857355
104,25.0030708843
