ID,MEDV
0,25.1918836264
1,25.0160073709
2,7.21875972139
3,20.7948892703
4,15.8647510357
5,20.0388051122
6,22.6373993305
7,21.0808608104
8,32.4528039464
9,22.8013311215
10,21.4768834458
11,19.4631713223
12,18.1822600879
13,20.0048831999
14,21.1467018798
15,28.9971192875
16,19.9636196304
17,23.1360293273
18,25.0678403962
19,28.0854330166
20,20.9350472811
21,30.4333973054
22,29.2302936149
23,14.5440483611
24,15.53353278
25,13.3462385943
26,18.2557525208
27,20.1709452063
28,21.5137280084
29,24.442050931
30,31.2640966395
31,24.4973223402
32,24.1720811674
33,27.1350264517
34,27.2152361072
35,24.2631971311
36,26.1521140342
37,28.9401763096
38,29.7067712533
39,26.4033844015
40,11.4828550904
41,32.4289280484
42,24.1252031894
43,22.5475551801
44,25.9442834961
45,24.9761243365
46,14.3571416838
47,23.8779185323
48,19.9552654122
49,19.058482302
50,20.5148904333
51,33.6595928894
52,19.8423664189
53,-7.16921869439
54,13.6537913043
55,21.1018000723
56,19.4271063969
57,8.77885846271
58,2.49862927523
59,23.1521293024
60,22.4757278079
61,20.8284849835
62,35.7375465643
63,24.5512841703
64,30.8181319781
65,26.4652999869
66,9.93895299068
67,20.6205857399
68,27.0115460503
69,17.0146006646
70,23.2298509998
71,26.0955122381
72,28.6462931225
73,6.78723190986
74,20.4445318594
75,17.5850743131
76,21.6595001145
77,26.9363815887
78,20.0746021133
79,31.0738981887
80,28.8816271843
81,35.3809491727
82,23.1960335895
83,27.0747587638
84,25.1746899299
85,30.2507125047
86,18.2007935229
87,27.2743113347
88,11.1748177754
89,25.7257286263
90,6.31692291254
91,23.5302778191
92,8.4681556237
93,22.1511917246
94,23.3995163113
95,22.9589011673
96,31.7748088572
97,5.49992914853
98,15.437674923
99,24.4523814102
100,25.1398642288
101,21.8657339017
102,25.502637738
103,30.7085719462
104,23.8323179062
