ID,MEDV
0, 22.35346353
1, 25.3322527
2, 12.98612241
3, 20.17502612
4, 19.32808325
5, 21.74211396
6, 21.10687799
7, 21.50861771
8, 34.2340994
9, 16.73679699
10, 23.78505049
11, 23.32649503
12, 20.84048088
13, 19.53053197
14, 21.40104883
15, 25.71412833
16, 17.66454289
17, 25.39659796
18, 20.10676453
19, 22.86736094
20, 23.46564249
21, 37.10629572
22, 23.12192734
23, 9.1067971
24, 14.22506171
25, 2.24871269
26, 17.90387547
27, 19.80853359
28, 23.02129581
29, 17.14806013
30, 37.48640012
31, 20.8997972
32, 19.86746526
33, 18.61423153
34, 25.2798879
35, 20.4865068
36, 30.26160761
37, 31.19168102
38, 38.0813392
39, 27.16575772
40, 18.50125061
41, 30.64589869
42, 23.7450383
43, 19.16164578
44, 23.07561698
45, 26.47884285
46, 19.94839905
47, 24.39732993
48, 15.86248726
49, 14.97066364
50, 20.39191531
51, 34.77752701
52, 24.06593975
53,-5.71882758
54, 12.54737698
55, 18.26238037
56, 19.2324046
57, 11.78383549
58, 11.02128505
59, 19.82936983
60, 20.74754219
61, 19.9945316
62, 31.90517379
63, 23.56508389
64, 35.22175315
65, 31.99446883
66, 16.05654082
67, 21.20343319
68, 25.57783483
69, 16.19321014
70, 20.16785479
71, 16.02101722
72, 26.60711545
73, 10.66895113
74, 21.6628505
75, 16.39395298
76, 19.72409083
77, 31.31707641
78, 16.68082517
79, 32.49632606
80, 32.52028798
81, 41.87230878
82, 27.47115739
83, 29.81007759
84, 19.01273614
85, 33.01758208
86, 17.62432572
87, 26.77460481
88, 16.2603227
89, 20.09932146
90, 16.62672267
91, 20.76846282
92, 14.23069005
93, 21.92317055
94, 19.22831619
95, 23.44836771
96, 34.97694973
97, 4.5183964
98, 16.85043733
99, 25.9361514
100, 25.70619668
101, 16.43011858
102, 27.14040486
103, 36.44901589
104, 6.00056355
