ID,MEDV
0,24.6052546808
1,25.1096601369
2,6.80885793833
3,19.0761423626
4,16.5646003459
5,19.1205526538
6,24.7422860306
7,21.4821556216
8,33.6928713028
9,23.9409577635
10,20.2358230751
11,20.1296218979
12,17.9337404941
13,19.8941814122
14,22.0709274775
15,29.4049968158
16,19.5508975607
17,23.1703219648
18,25.6433414816
19,29.0615055655
20,21.7343358855
21,31.1305031333
22,29.9397048539
23,14.8422572729
24,14.9559601579
25,14.9348995281
26,18.1693128823
27,20.258527589
28,21.7685157453
29,24.7480692656
30,30.7989984178
31,26.9522230864
32,24.8661331495
33,27.0413832671
34,29.4009184488
35,24.0280393678
36,24.9035482521
37,28.560833466
38,28.3777033798
39,26.0037122771
40,10.2795068653
41,33.7367577793
42,23.691152083
43,22.9126806588
44,26.7694556252
45,24.251998487
46,13.5244580832
47,23.9490757213
48,22.3339659693
49,21.3608852358
50,20.1196161114
51,35.5095763029
52,18.1723047089
53,-8.06848668625
54,11.4981386251
55,20.6836263507
56,18.9188093504
57,7.90093361097
58,0.632821382185
59,23.5416518175
60,22.0801573349
61,24.5941823423
62,36.602204052
63,23.7571632336
64,31.9873361203
65,26.0739996783
66,8.6846368112
67,24.6261439893
68,27.1371325946
69,17.2590877042
70,23.7721962898
71,27.565857696
72,28.758772207
73,6.3398185857
74,20.1811721584
75,17.3356745152
76,20.248564549
77,26.8529657815
78,21.4655404786
79,32.0232193551
80,27.7601890487
81,36.0076101888
82,23.5931085253
83,26.1343751382
84,25.3251162205
85,29.3000741821
86,18.2247145529
87,26.3386141175
88,10.1491623831
89,26.0605507649
90,4.73609438917
91,23.3851395481
92,7.47831398412
93,22.2214461499
94,23.7999435053
95,21.6566096266
96,30.9268993172
97,6.41400229585
98,16.8104559512
99,23.7257267973
100,24.7346092851
101,22.503509388
102,25.3411733231
103,31.0569956547
104,26.7005236215
